Word,Meaning
大同小异,差别不大，大体相同
白云苍狗,世事变幻无常
沽名钓誉,捞取名声、博取赞誉，故意做作（贬）
"zhēn xiū měi zhuàn
珍馐美馔",指珍贵而美味的食物。馐、馔：美食、菜肴
"róng mǎ kǒng zǒng
戎马倥偬",军务繁忙，征战不休
惨绿少年,风度翩翩的青年才俊
博士买驴,不得要领，写文章废话连篇
风花雪月,诗文指内容空洞（贬）
明月清风,超凡脱俗的心境，高洁的品格
再做冯妇,重操旧业
汗牛充栋,专形容藏书极多。（只用于书籍）
高屋建瓴,居高临下，形势有利
彩衣娱亲,孝顺父母
连理枝/比翼鸟,爱情、恩爱的夫妻
玫瑰,美好爱情
梧桐雨,爱情
丁香结,解不开的愁绪、心结
鸿雁,书信
杨柳枝,送别
长亭,送别
明月,思乡
昆山玉,杰出贤才
松柏,坚贞不屈、长寿高洁
旌旗,军队
鲫鱼,吉祥
蝙蝠,幸福
汉青,史册
耳目,亲信，打探消息的人
钢铁长城,军人
黔首,平民
庙堂,朝廷
垂鬓,小孩
须眉,男子
桑麻,农事
缁衣,缁：黑色。黑色衣服
南冠,囚犯
桑梓,家乡
杏坛,教育界
杏林,医学界
杏园,金榜题名
珍珠婚,结婚30年
红旗渠,大型水利工程。自力更生、艰苦创业、团结协作、无私奉献。
皂,黑色
屈驾,敬辞，恳请对方委屈身份前来
斧正,敬辞，请别人修改文章、作品
俯就,敬辞，委屈对方身份迁就就职、应允婚事
拙见,谦辞，指自己粗浅浅薄的见解
峨眉,美女
东床,女婿
金陵,南京
汴(biàn)京,开封
广陵,扬州
香黍,粽子
公孙木,银杏
芙蕖,荷花
菡萏(hàn dàn),荷花
简牍,竹片
映山红,杜鹃花
玉照,女子照片
宿疾,多年未愈的旧病、老毛病。
克己,克制私欲
复礼,遵守规矩
轿辇,古代的车驾、代步工具
蹙额,皱眉头
觉知此事要躬行,知道了要去实践
吹尽狂沙始到金,要历经磨难才能成功
弄潮儿向涛头立,奋勇平波，不畏险阻
绝密>机密>秘密,
伯→老大，仲→老二，季→最小,
诗→赋→词（先后顺序）,
戏=剧+曲,
巢湖是淡水湖,
四书,论语、孟子、大学、中庸（大 中 论 孟）
五经,诗经、尚书、礼记、周易、春秋（诗 书 礼 易 春）
五谷,稻、黍、稷、麦、菽
五金,金、银、铜、铁、锡
八卦,乾-天、坤-地、震-雷、巽（xùn）-风、坎-水、离-火、艮-山、兑-泽
十天干,甲、乙、丙、丁、戊、己、庚、辛、壬、癸
"春雨惊春清谷天，（十二节气歌）
夏满芒夏暑相连。
秋处露秋寒霜降，
冬雪雪冬小大寒。
",
一、无脊椎动物（体内无脊柱）,
腔肠动物,水母、海葵、珊瑚
扁形动物,涡虫、绦虫
线形动物,蛔虫、线虫
环节动物,蚯蚓、水蛭
软体动物,蜗牛、乌贼、贝类、章鱼
节肢动物（种类最多）,昆虫（蝴蝶、蜜蜂、蚂蚁）、虾、蟹、蜘蛛、蜈蚣
棘皮动物,海星、海胆
二、脊椎动物（体内有脊柱）,
鱼类,金鱼、鲤鱼、鲨鱼
两栖类,青蛙、蟾蜍、大鲵（娃娃鱼）
爬行类,蛇、龟、鳄鱼、蜥蜴
鸟类,麻雀、老鹰、孔雀、企鹅
哺乳类,猫狗、牛羊、人类、鲸鱼、蝙蝠
汉高祖：,刘邦
汉武帝：,刘策
汉献帝：,刘协
唐高祖：,李渊
唐太宗：,李世民—贞观
唐玄宗：,李隆基—开元
宋太祖：,赵匡胤
宋太宗：,赵匡义
明太祖：,朱元璋
明成祖：,朱棣
清太宗：,皇太极
清圣祖：,康熙
